,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
283,PAST SALE,October-24-2019,Multi-Family (2-4 Unit),2918 N 61st St,Milwaukee,WI,53210,84300,4.0,2.0,Milwaukee,2052.0,4791.0,1951.0,64.0,41.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/2918-N-61st-St-53210/home/90218370,METROMLS,1654088.0,N,Y,43.072189,-87.988229,21075.0,63225.0,-316.9711176778842,-136.07424999999998,-31.612499999999997,53210.0,0.6805444359999999,1396.4771826719998,-139.6477182672,-139.6477182672,-139.6477182672,-139.6477182672,-100,0,-100,153.22844192531568,0.08724751141654985
9,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,25000.0,75000.0,-376.0036983130299,-161.41666666666666,-37.49999999999999,53218.0,0.8027777779999999,1647.300000456,-164.7300000456,-164.7300000456,-164.7300000456,-164.7300000456,-100,0,-100,213.45963529390315,0.10246062494107351
92,PAST SALE,August-2-2019,Multi-Family (2-4 Unit),4920 N 91st St #4922,Milwaukee,WI,53225,80000,5.0,2.0,Milwaukee,1928.0,9583.0,1955.0,147.0,41.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4920-N-91st-St-53225/unit-4922/home/90349373,METROMLS,1643346.0,N,Y,43.10731679999999,-88.0256532,20000.0,60000.0,-300.80295865042393,-129.13333333333333,-30.0,53225.0,0.7209409590000001,1389.9741689520001,-138.99741689520002,-138.99741689520002,-138.99741689520002,-138.99741689520002,-100,0,-100,174.04820938744285,0.10442892563246571
302,PAST SALE,November-18-2019,Multi-Family (2-4 Unit),5411 N 39th St,Milwaukee,WI,53209,93000,4.0,2.0,Milwaukee,1800.0,3920.0,1927.0,39.0,52.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5411-N-39th-St-53209/unit-5411A/home/90347663,METROMLS,1656007.0,N,Y,43.115944899999995,-87.961487,23250.0,69750.0,-349.6834394311178,-150.11749999999998,-34.87499999999999,53209.0,0.877380952,1579.2857136,-157.92857136,-157.92857136,-157.92857136,-157.92857136,-100,0,-100,212.89548872888213,0.10988154256974561
98,PAST SALE,September-27-2019,Multi-Family (2-4 Unit),8923 W Carmen Ave Unit 8923A,Milwaukee,WI,53225,75000,5.0,2.0,Milwaukee,1999.0,7405.0,1965.0,91.0,38.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/8923-W-Carmen-Ave-53225/unit-8923A/home/164365290,METROMLS,1633978.0,N,Y,43.123228000000005,-88.023887,18750.0,56250.0,-282.00277373477246,-121.06249999999999,-28.125,53225.0,0.7209409590000001,1441.1609770410003,-144.11609770410004,-144.11609770410004,-144.11609770410004,-144.11609770410004,-100,0,-100,233.50631248982745,0.14944403999348957
220,PAST SALE,September-30-2019,Multi-Family (2-4 Unit),2928 N 54th St #2930,Milwaukee,WI,53210,91250,4.0,2.0,Milwaukee,2494.0,4791.0,1928.0,88.0,37.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/2928-N-54th-St-53210/unit-2930/home/90358645,METROMLS,1654369.0,N,Y,43.072357200000006,-87.98058320000001,22812.5,68437.5,-343.1033747106398,-147.2927083333333,-34.21874999999999,53210.0,0.6805444359999999,1697.2778233839997,-169.72778233839998,-169.72778233839998,-169.72778233839998,-169.72778233839998,-100,0,-100,293.75186098642666,0.15452152687505183
207,PAST SALE,,Multi-Family (2-4 Unit),313 E Smith St,Milwaukee,WI,53207,75000,3.0,2.0,,1692.0,4050.0,1889.0,,44.0,,,,,http://www.redfin.com/WI/Milwaukee/313-E-Smith-St-53207/home/90237231,,,N,Y,43.0008951,-87.90648709999999,18750.0,56250.0,-282.00277373477246,-121.06249999999999,-28.125,,0.9054983222965125,1532.1031613256991,-153.21031613256991,-153.21031613256991,-153.21031613256991,-153.21031613256991,-100,0,-100,288.07162306064697,0.18436583875881407
260,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),1974 S Congo Ave Unit 1974A,Milwaukee,WI,53204,78000,4.0,2.0,Milwaukee,1753.0,3484.0,1912.0,114.0,44.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/1974-S-Congo-Ave-53204/unit-1974A/home/113964619,METROMLS,1664440.0,N,Y,43.008921799999996,-87.9354909,19500.0,58500.0,-293.2828846841633,-125.90499999999999,-29.25,,0.9054983222965125,1587.3385589857864,-158.73385589857867,-158.73385589857867,-158.73385589857867,-158.73385589857867,-100,0,-100,303.96525070730854,0.18705553889680526
173,PAST SALE,July-26-2019,Multi-Family (2-4 Unit),2643 N 56th St,Milwaukee,WI,53210,87700,6.0,2.0,Milwaukee,2580.0,3920.0,1927.0,154.0,34.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/2643-N-56th-St-53210/unit-2645/home/90363152,METROMLS,1628434.0,N,Y,43.067106700000004,-87.983673,21925.0,65775.0,-329.7552434205272,-141.56241666666665,-32.887499999999996,53210.0,0.6805444359999999,1755.8046448799998,-175.580464488,-175.580464488,-175.580464488,-175.580464488,-100,0,-100,349.2776268408061,0.19116677409759056
25,PAST SALE,December-9-2019,Multi-Family (2-4 Unit),2650 N 5th St,Milwaukee,WI,53212,82900,4.0,2.0,Milwaukee,1800.0,6098.0,1880.0,18.0,46.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/2650-N-5th-St-53212/unit-2650A/home/57987627,METROMLS,1658071.0,N,Y,43.0669032,-87.916731,20725.0,62175.0,-311.7070659015018,-133.81441666666666,-31.087499999999995,53212.0,0.933333333,1679.9999994,-167.99999994,-167.99999994,-167.99999994,-167.99999994,-100,0,-100,331.3910170718318,0.19187899661577718
