RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
20785,Greater Landover,MD,Washington-Arlington-Alexandria,Prince Georges County,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497630332,1.52406015,1.503496583,1.543859649,1.562607204,1.497630332,1.497630332,1.488372093,1.516587678,1.444498225,1.432301741,1.4863103,1.519756839,1.520930233,1.520512821,1.455156059,1.462194651,1.603968939,1.605513881,1.605513881,1.680092951,1.691320794,1.675445391,1.598738225,1.598738225,1.575730735,1.502334267,1.47372549,1.493886606,1.489122756,1.523027901,1.539408867,1.534018159,1.508701473,1.578084556,1.634398496,1.640410831,1.575686275,1.554476807,1.651727358,1.690117253,1.781512605,1.671840959,1.727176968,1.592741935,1.562248996,1.562248996,1.601084106,1.568705322,1.637658483,1.518895349,1.596285974,1.539408867,1.453534551,1.504313725,1.49324861,1.523809524,1.515777412,1.565126273,1.623584645,1.592417062,1.585791042,1.547887324,1.479126961,1.524500907,1.518895349,1.538112523,1.58266129,1.606635071,1.595774648,1.539405099,1.544331395,1.577034884,1.574024525,1.631860776,1.621564191,1.621564191,1.631860776,1.571802905,1.496729651,1.592448893,1.580668605,1.572676728,1.48619186,1.493126505,1.502016129,1.511453051,1.500469484
34110,Naples,FL,Naples-Immokalee-Marco Island,Collier County,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.264582992,2.175489485,2.112147791,2.181025054,2.12244898,2.296186078,2.335766423,2.399232246,2.441535761,2.375,2.5,2.402147768,2.375,2.344813927,2.275312856,2.226228689,2.112420671,2.142229976,2.2161514,2.286087524,2.33489566,2.366381681
53154,Oak Creek,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930599369,0.927174685,0.939805028,0.922067268,0.967766117,0.961021995,0.953523222,0.942533947,0.937397709,0.936161862,0.963041465,1.020504732,1.013578949,1.022082019,1.049289193,1.001577287,1.015730337,1.053054662,1.053054662,1.03649933,1.088328076,1.073972001,1.074450259,1.02764613,1.009830206,1.06431713,1.08805668,1.138801262,1.147635525,1.161039544,1.161802511,1.153225806,1.139855971,1.161290323,1.105305466
91606,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041666667,2.131592295,2.139534884,2.194844125,2.075,2.132909134,2.119205298,2.214285714,2.291666667,2.285714286,2.281538462,2.252252252,2.214285714,2.224789916,2.260217035,2.268181818,2.347058824,2.315833333,2.298850575,2.295,2.3,2.362946429,2.385405534
33155,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1321,,,,,,,,,,,,,1.4,1.4,1.380355317,1.33432172,1.34564087,1.36612521,1.417434444,1.417004049,1.417004049,1.408450704,1.388888889,1.408450704,1.408450704,1.417004049,1.489782492,1.5,1.504310345,1.549295775,1.528483939,1.487793488,1.499189627,1.510548523,1.55625,1.549295775,1.537013346,1.537013346,1.499189627,1.505208333,1.518931402,1.6,1.668105263,1.650526316,1.599026718,1.5975,1.66458079,1.611111111,1.608325449,1.60971828,1.61763816,1.736935976,1.781333333,1.755121951,1.809908999,1.810344828,1.815182525,1.756097561,1.676768293,1.690140845,1.695,1.606181768,1.67791958,1.796700143,1.87057634,1.87057634,1.858853543,1.861167002,1.793400287,1.990774248,2.067868505,2.067868505,2.029520295,2.018666667,2.009646302,1.834200143,1.868686869,1.909617178,1.855140187,1.750236518,1.769728962,1.884404133,1.9,1.86395748,1.844020159,1.820020222,1.971688574,1.860296516,1.910828025,1.921132457,1.908153702,1.93236715,1.992475138,1.948051948,1.971688574,2.022244692,2.038295324,2.046391753,1.94092827,2.128865979,2.128571429,2.116,2.140096618,2.171717172,2.184494077,2.174475078,2.122966781,2.12716763,2.097902098,2.105140097,2.146067416,2.320675105,2.332941176,2.519626168,2.521981613,2.529465095,2.511111111,2.505607477
90291,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.460714286,2.551124744,2.737829912,2.931230986,3.327069886,3.269230769,3.34877193,3.329916477,3.234279707,3.666666667,3.430656934,2.991666667,3.116491228,3.21575712,3,2.984771574,3.148877511,3.212851406,3.271348763,3.323277329,3.483156882,3.623893805,3.561515864,3.595403755,3.542258188,3.566486486,3.579431403,3.531280077,3.712984055,3.640488089,3.677221655,3.583809979,3.617795806,3.698947368,3.793513514,3.804312718,3.648696813,3.590711701,3.787878788,3.696385542,3.683656913,3.651818182,3.592417635,3.712121212,3.564285714,3.717948718,3.692307692,3.758823529,3.738238842,3.868820843,3.378995434,3.762434933,3.76393066,3.78974359,3.831533477,4.2,3.992916667,3.981531281,3.909090909,4.151764706,4.1280077,4,3.955367913,4.198786039,4.006410256,3.928571429,3.939301973,3.974377845,3.932857143,3.908695652,3.950542823,3.953417606,4.109557462,3.944177093,4.058710298,4.202648244,4.124430956,4.203338392,4.170075758,4.11875,4.100723764,4.1625,4.083232811,4.155870445,4.121212121,4.034981906
80228,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.924578527,1.991774383,2.020133555,1.961352657,2.004830918,1.912045889,1.864244742,1.956521739,1.889799636,1.884057971,1.874396135,1.870229008,1.864244742,1.745846731,1.755714286,1.830917874,1.8647343,1.929804182,1.798724954,1.714925373,1.494845361,1.469072165,1.494845361,1.521649485,1.542207792,1.60359508,1.579268293,1.806187443,1.841644794,1.848148821
84107,Murray,UT,Salt Lake City,Salt Lake County,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.859139785,0.863944892,0.863944892,0.882872928,0.909090909,0.909090909,0.971395881,0.971395881,0.96025641,0.919476379,0.987257452,0.937163743,0.981524249,1.037483266,0.952222222,0.929861849,0.974639662,0.968578341,1.05046344,1.05046344,0.96875,1.058575024,1.037483266,1.032721896,1,1.084337349,1.011206086,1.061507937,0.994949495,1.068770203,1.08234127,1.075794621,1.054609218,1.090909091,1.11707841,1.133190118,1.144744258,1.132727324,1.17803838,1.161825726,1.127254509,1.108742004,1.047453907,1.191432396,1.153526971,1.217718838,1.081282513,1.079231693,1.062777094,1.035519126,1.161825726,1.194267516,1.194267516,1.194267516,1.194267516,1.194267516,1.162420382,1.223990208,1.384615385,1.392344498,1.392344498,1.384615385,1.379402192,1.370192308,1.370192308
40515,Lexington,KY,Lexington-Fayette,Fayette County,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.046052632,1.035714286,1.030869972,1.078102222,1.091275168,1.00473447,0.944808232,0.934210526,0.912555319,0.888888889,0.906731549,0.93962999,0.954235638,0.929840973,0.977549111,1.044901777,1.042857143,1.012618762,0.972873777,0.962121212,0.953286884
52240,Iowa City,IA,Iowa City,Johnson County,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.410556819,1.362054795,1.2375,1.15,1.125,1.023730684,1.002207506,1.074282561,1.043961087,1.157089552,1.202929797,1.165422886,1.19047619,1.19047619,1.3,1.283887468,1.25,1.177777778,1.149074074,1.207546961,1.227902344,1.25,1.278571429,1.268099191,1.26984127,1.220921098,1.166666667,1.225490196,1.171085085,1.266666667,1.181581656,1.117,1.136363636,1.277777778,1.344288793
