RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Edmonds,WA,Seattle-Tacoma-Bellevue,Snohomish County,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.533663366,1.57116338,1.566696509,1.650843882,1.667460908,1.802139037,1.879932755,1.953405018,1.953405018,1.897759104,1.845991561,1.883821933,1.838235294,1.755882353,1.787974684,1.727941176,1.762246117,1.80533752,1.787623191,1.806411756,1.788481675,1.736677116,1.851851852,1.844850065,1.766877637,1.760883408,1.740506329,1.85968933,1.898305085,1.830168776,1.875,1.913913027,1.818565401,1.816199727,1.818565401,1.848101266,1.816860465,1.855742297
Annandale,VA,Washington-Arlington-Alexandria,Fairfax County,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.750926304,1.687680354,1.481958763,1.426370432,1.644664466,1.601423488,1.60530036,1.661220044,1.61318975,1.629327902,1.674741548,1.674741548,1.559020045,1.518780144,1.569520216,1.59882241,1.723376386,1.67844523,1.557863501,1.533991228,1.611948365,1.588815789,1.571351485,1.553321146,1.533991228,1.56292431,1.579124694,1.613431613,1.591048596,1.621621622,1.629327902,1.625,1.629327902,1.635964912,1.680873931,1.719843137,1.786924939
Pontiac,MI,Detroit-Warren-Dearborn,Oakland County,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.836944908,0.872734466,0.892538493,0.902257428,0.793333333,0.85,0.796296296,0.828786195,0.864705882,0.951357466,0.930194805,0.85,0.857063366,0.877777778,0.890399507,0.817843137,0.9,0.904705882,0.872076649,0.877124183,0.905349794,0.855294118,0.862368175,0.887164751,0.842820513,0.879477124,0.918823529,0.88805382,0.863095238,0.928571429,0.917079318,0.956097561,0.956097561
Skokie,IL,Chicago-Naperville-Elgin,Cook County,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.371710526,1.297058824,1.284722222,1.257459506,1.333333333,1.333333333,1.436928105,1.342105263,1.565217391,1.611111111,1.571428571,1.475,1.532857143,1.544155844,1.535833333,1.472222222,1.472222222,1.442857143,1.471428571
Kendale Lakes,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,707,,,,,,,,,,,,1.119402985,1.097046414,1.088082902,1.080128205,1.086956522,1.087519712,1.134453782,1.137763099,1.153846154,1.153846154,1.153846154,1.153846154,1.139896373,1.153846154,1.153846154,1.153846154,1.191709845,1.153846154,1.153846154,1.163487766,1.208438174,1.238705739,1.214707814,1.204409814,1.206896552,1.201923077,1.18477032,1.199799197,1.221700773,1.243523316,1.208594449,1.218895058,1.222707424,1.228978236,1.25,1.25,1.243523316,1.243523316,1.245192308,1.265683346,1.295336788,1.295336788,1.256095812,1.269607843,1.296706855,1.31147541,1.311019675,1.295336788,1.291870574,1.336206897,1.340206186,1.298076923,1.37254902,1.341404784,1.34077617,1.351541231,1.34380863,1.341346154,1.34380863,1.363636364,1.346652053,1.379310345,1.378123331,1.428571429,1.476190476,1.346153846,1.400814212,1.398963731,1.341463415,1.392759176,1.34380863,1.295336788,1.409090909,1.421800948,1.467889908,1.466613021,1.488833747,1.502590674,1.450777202,1.417366947,1.423412698,1.44092219,1.393442623,1.386554622,1.476683938,1.490384615,1.502590674,1.501295337,1.475409836,1.472999036,1.504761905,1.5,1.523809524,1.545363908,1.502259036,1.488306166,1.509892782,1.536057692,1.528497409,1.502590674,1.513752277,1.490630324,1.501295337,1.519607843,1.519607843,1.510391407,1.504955974
Sammamish,WA,Seattle-Tacoma-Bellevue,King County,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.678423078,1.749792186,1.843976163,1.907265996,1.900386847,1.981981982,2.163692108,2.138233054,2.064937842,1.902564879,1.84038713,1.762664816,1.719285872,1.733171409,1.858962652,1.890715667,1.916342851,2.008038724,1.988202637,2.084639498,2.057062675,2.003046458,1.924064171,1.927083333,2.02020202,2.049044057,1.955009276,1.999306037,2.155688623,2.167475253,2.08913649,2.043875955,2.02662037,2.108433735,2.118941196,2.089089745
Fairfield,CT,Bridgeport-Stamford-Norwalk,Fairfield County,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.653846154,1.7,1.740139211,1.703296703,1.670653907,1.71200174,1.718182428,1.709401709,1.709401709,1.631578947,1.598233696,1.692105263,1.769230769,1.862232574,1.75,1.740506329,1.75,1.783783784,1.767676768,1.794169525,1.743375174,1.764790765,1.715686275,1.604347826,1.577023299
Meriden,CT,New Haven-Milford,New Haven County,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02124183,1.02124183,1.023266185,1.035502959,1,0.96,1,0.931034483,1,1.00154321,1,1,1.004016064,1.007833098,1.003551242,1.036877162,1.038251366,1.00154321,1.014492754,1.015965167,1.025734063,1.015965167,1.019294689,1.00154321,1.009525793,1.039959016,1.036484245,1,1,1.005158912,1.038251366,1.00308642,1.052083333,1.041666667,1.055555556,1.064583333,1.00308642,1.019294689,1.038251366,1,1.033908046,1.00308642,1.00308642,1.095454545,1.106770833,1.039959016,1.041666667,1.033057851,1.052083333,1.041666667,1.036877162,1.004898915,1.00308642,1.07827476,1.071794872,1.104166667,1.038251366,1.039959016,1.038251366,1.038251366,1.037037037,1.041666667,1.044466403,1.042572464,1.041666667,1.041666667,1.054093567,1.085069444,1.07827476,1.048951049,1.083255027,1.062960645,1.05,1.088223423,1.061111111,1.072961053,1.041666667,1.076923077,1.076923077,1.066666667,1.141552511,1.118592843,1.106770833,1.136116601,1.125,1.135869565,1.134601449,1.125,1.222222222
Cupertino,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.488712172,2.418024928,2.355080063,2.405281286,2.486541721,2.537470811,2.583333333,2.689393939,2.728,2.75560643,2.768090671,2.667534722,2.688697318,2.616319444,2.688697318,2.763335408,2.755223881,2.674645879,2.801886792,2.994425864,3.077470641,3.065185185,3.053731343,3.028423773,2.982022472,2.919463087,2.871205906,3.127981043,3.208430913,3.208430913,3.198456294,3.198022378,3.385978428,3.419742918,3.246376812,3.267477204,3.206214689,3.344706637,3.337997847,3.266068759,3.259272003,3.356417467,3.312518493,3.375158428,3.268764697,3.103852596,3.093234323,3.065395095,3.096942809,3.034716123,3.33402656,3.222893617,3.28685259,3.277027027,3.399262633,3.402298851,3.334168755,3.376092133,3.274540758,3.23373174,3.177966102,3.16091954,3.22359736,3.291752995,3.572519443,3.634749852,3.601520699,3.700238379,3.453886079,3.348214286,3.309838473,3.324640288,3.333333333,3.343782654,3.330199765,3.323599523,3.374020888,3.512241055,3.533834586,3.494296578,3.4890865,3.443051202,3.407562771,3.396029258,3.446231015,3.445682015
Carmichael,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.140167107,1.284916201,1.314285714,1.306666667,1.359256637,1.285311808,1.283333333,1.290989735,1.357843137,1.341833021,1.319444444,1.375617792,1.458156863,1.421428571,1.414855072,1.417533771,1.4,1.425762045,1.505813953,1.505813953,1.486431373,1.470588235,1.490066225,1.5,1.515151515,1.505813953,1.535539216,1.51640578,1.515151515,1.524396285,1.525263158,1.517156863,1.542553191,1.524801516,1.5,1.5
