,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
812,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.9189189190000001,1885.6216217880003,-188.56216217880004,-188.56216217880004,-188.56216217880004,-188.56216217880004,-50,-100,-50,353.8149141213885,0.21228894847283308
813,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8636363640000001,1772.1818189280002,-177.21818189280003,-177.21818189280003,-177.21818189280003,-177.21818189280003,-50,-100,-50,285.75103240538846,0.17145061944323306
815,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.825568182,1694.065909464,-169.4065909464,-169.4065909464,-169.4065909464,-169.4065909464,-50,-100,-50,238.88148672698821,0.14332889203619292
816,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.846354167,1736.718750684,-173.67187506840003,-173.67187506840003,-173.67187506840003,-173.67187506840003,-50,-100,-50,264.47319145898814,0.15868391487539288
817,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.875,1795.5,-179.55,-179.55,-179.55,-179.55,-50,-100,-50,299.74194104858833,0.17984516462915298
818,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.805882353,1653.670588356,-165.3670588356,-165.3670588356,-165.3670588356,-165.3670588356,-50,-100,-50,214.64429406218824,0.12878657643731295
819,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8451516059999999,1734.251095512,-173.4251095512,-173.4251095512,-173.4251095512,-173.4251095512,-50,-100,-50,262.99259835578823,0.15779555901347295
820,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8188824659999999,1680.3468202319998,-168.0346820232,-168.0346820232,-168.0346820232,-168.0346820232,-50,-100,-50,230.65003318778787,0.13839001991267275
821,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8625,1769.8500000000001,-176.985,-176.985,-176.985,-176.985,-50,-100,-50,284.3519410485883,0.17061116462915296
823,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8481770829999999,1740.4593743159999,-174.0459374316,-174.0459374316,-174.0459374316,-174.0459374316,-50,-100,-50,266.71756563818803,0.1600305393829128
824,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.818329876,1679.212905552,-167.92129055520002,-167.92129055520002,-167.92129055520002,-167.92129055520002,-50,-100,-50,229.96968437978808,0.13798181062787285
825,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.8065207790000001,1654.980638508,-165.4980638508,-165.4980638508,-165.4980638508,-165.4980638508,-50,-100,-50,215.43032415338826,0.12925819449203296
