SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3777 S 92nd St,Milwaukee,WI,53228,215000,5,2,Milwaukee,1970,9583,1971,45,109,,Active,,,http://www.redfin.com/WI/Milwaukee/3777-S-92nd-St-53228/home/90247222,METROMLS,1670123,N,Y,42.9756645,-88.02815
MLS Listing,,Multi-Family (2-4 Unit),10422 W Villard Ave #10424,Milwaukee,WI,53225,93100,5,2,Milwaukee,2333,7405,1957,45,40,,Active,,,http://www.redfin.com/WI/Milwaukee/10422-W-Villard-Ave-53225/unit-10424/home/90199509,METROMLS,1670060,N,Y,43.1124357,-88.042886
MLS Listing,,Multi-Family (2-4 Unit),2529 W Auer Ave #2531,Milwaukee,WI,53206,5800,4,2,Milwaukee,1812,3049,1915,45,3,,Active,,,http://www.redfin.com/WI/Milwaukee/2529-W-Auer-Ave-53206/unit-2531/home/146372261,METROMLS,1670055,N,Y,43.076765,-87.945711
MLS Listing,,Multi-Family (2-4 Unit),2728 N 37th St #2730,Milwaukee,WI,53210,57000,4,2,Milwaukee,2292,4791,1915,49,25,,Active,,,http://www.redfin.com/WI/Milwaukee/2728-N-37th-St-53210/unit-2730/home/108515048,METROMLS,1669825,N,Y,43.0685969,-87.959457
MLS Listing,,Multi-Family (2-4 Unit),2522 N 5th St,Milwaukee,WI,53212,5000,6,2,Milwaukee,5666,6098,1895,49,1,,Active,,,http://www.redfin.com/WI/Milwaukee/2522-N-5th-St-53212/home/57681196,METROMLS,1669684,N,Y,43.0645252,-87.9167597
MLS Listing,,Multi-Family (2-4 Unit),2213 W Orchard St,Milwaukee,WI,53204,80000,4,2,Milwaukee,15911,2613,1893,50,5,,Active,,,http://www.redfin.com/WI/Milwaukee/2213-W-Orchard-St-53204/home/58064437,METROMLS,1669672,N,Y,43.0157998,-87.9413308
MLS Listing,,Multi-Family (2-4 Unit),2465 N Oakland Ave #2467,Milwaukee,WI,53211,309900,7,3,Milwaukee,3198,3920,1891,50,97,,Active,,,http://www.redfin.com/WI/Milwaukee/2465-N-Oakland-Ave-53211/unit-2467/home/146370590,METROMLS,1669661,N,Y,43.0628992,-87.8882338
MLS Listing,,Multi-Family (2-4 Unit),7510 W Thurston Ave,Milwaukee,WI,53218,165500,,,Milwaukee,2588,7840,1972,58,64,,Active,,,http://www.redfin.com/WI/Milwaukee/7510-W-Thurston-Ave-53218/home/58075228,METROMLS,1669120,N,Y,43.1207585,-88.005204
MLS Listing,,Multi-Family (2-4 Unit),3201 N 36th St #3203,Milwaukee,WI,53216,79700,4,2,Milwaukee,2616,3484,1929,62,30,,Active,,,http://www.redfin.com/WI/Milwaukee/3201-N-36th-St-53216/unit-3203/home/58059400,METROMLS,1668700,N,Y,43.077133,-87.9588135
MLS Listing,,Multi-Family (2-4 Unit),3817 N 77th St #3819,Milwaukee,WI,53222,137500,6,2,Nash Park,2080,4791,1955,64,66,,Active,,,http://www.redfin.com/WI/Milwaukee/3817-N-77th-St-53222/unit-3819/home/90353257,METROMLS,1668432,N,Y,43.0867205,-88.0089174
MLS Listing,,Multi-Family (2-4 Unit),2529 N Murray Ave,Milwaukee,WI,53211,260000,6,2,Milwaukee,2959,5662,1901,65,88,,Active,,,http://www.redfin.com/WI/Milwaukee/2529-N-Murray-Ave-53211/home/90361024,METROMLS,1668382,N,Y,43.0644059,-87.8858594
MLS Listing,,Multi-Family (2-4 Unit),2521 N Murray Ave #2523,Milwaukee,WI,53211,260000,7,2,Milwaukee,2946,3920,1896,65,88,,Active,,,http://www.redfin.com/WI/Milwaukee/2521-N-Murray-Ave-53211/unit-2523/home/169900545,METROMLS,1668381,N,Y,43.064296,-87.885933
MLS Listing,,Multi-Family (2-4 Unit),2520 N Oakland Ave #2522,Milwaukee,WI,53211,260000,6,2,Milwaukee,2634,3920,1908,65,99,,Active,,,http://www.redfin.com/WI/Milwaukee/2520-N-Oakland-Ave-53211/unit-2522/home/58074118,METROMLS,1668380,N,Y,43.0643042,-87.8876286
MLS Listing,,Multi-Family (2-4 Unit),2509 N Cramer St #2511,Milwaukee,WI,53211,260000,6,2,Milwaukee,3636,5662,1929,65,72,,Active,,,http://www.redfin.com/WI/Milwaukee/2509-2511-N-Cramer-St-53211/unit-2511/home/169900544,METROMLS,1668379,N,Y,43.064034,-87.887157
MLS Listing,,Multi-Family (2-4 Unit),2317 E Park Pl,Milwaukee,WI,53211,260000,6,2,Milwaukee,2572,2613,1894,65,101,,Active,,,http://www.redfin.com/WI/Milwaukee/2317-E-Park-Pl-53211/home/90361034,METROMLS,1668378,N,Y,43.0671716,-87.881109
MLS Listing,,Multi-Family (2-4 Unit),8915 W Adler St,Milwaukee,WI,53214,149900,6,2,Milwaukee,2130,3920,1916,66,70,,Active,,,http://www.redfin.com/WI/Milwaukee/8915-W-Adler-St-53214/home/58066785,METROMLS,1668206,N,Y,43.0273607,-88.0238694
MLS Listing,,Multi-Family (2-4 Unit),3834 S Brust Ave,Milwaukee,WI,53207,310000,,,Milwaukee,2542,6534,1951,68,122,,Active,,,http://www.redfin.com/WI/Milwaukee/3834-S-Brust-Ave-53207/home/90378523,METROMLS,1668134,N,Y,42.974782,-87.8892144
MLS Listing,,Multi-Family (2-4 Unit),2568 N Booth St,Milwaukee,WI,53212,169900,5,2,Milwaukee,2000,3484,1896,69,85,,Active,,,http://www.redfin.com/WI/Milwaukee/2568-N-Booth-St-53212/home/90361589,METROMLS,1668098,N,Y,43.0654075,-87.9037621
