SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-20-2019,Multi-Family (2-4 Unit),2823 S Clement Ave,Milwaukee,WI,53207,235000,4,2,Bay View,2004,3920,1908,35,117,,Sold,,,http://www.redfin.com/WI/Milwaukee/2823-S-Clement-Ave-53207/home/58076185,METROMLS,1665508,N,Y,42.993197,-87.8945084
PAST SALE,December-2-2019,Multi-Family (2-4 Unit),2577 S Graham St #2579,Milwaukee,WI,53207,294000,5,2,Milwaukee,2342,3484,1903,53,126,,Sold,,,http://www.redfin.com/WI/Milwaukee/2577-S-Graham-St-53207/unit-2579/home/90374024,METROMLS,1665574,N,Y,42.9970617,-87.9040008
PAST SALE,December-3-2019,Multi-Family (2-4 Unit),3235 S New York Ave,Milwaukee,WI,53207,255000,5,2,Milwaukee,1807,6098,1904,52,141,,Sold,,,http://www.redfin.com/WI/Milwaukee/3235-S-New-York-Ave-53207/home/90244189,METROMLS,1665652,N,Y,42.9858695,-87.8785452
PAST SALE,August-16-2019,Multi-Family (2-4 Unit),3612 S 34th St #3614,Greenfield,WI,53221,215900,4,2,Lynndale,1408,5227,1928,161,153,,Sold,,,http://www.redfin.com/WI/Greenfield/3612-S-34th-St-53221/unit-3614/home/166339154,METROMLS,1636449,N,Y,42.97905,-87.956656
PAST SALE,,Multi-Family (2-4 Unit),10400 W Grantosa Dr,Milwaukee,WI,53222,225000,4,5,,3291,6900,1986,,68,,,,,http://www.redfin.com/WI/Milwaukee/10400-W-Grantosa-Dr-53222/home/90209141,,,N,Y,43.091395,-88.041753
PAST SALE,October-1-2019,Multi-Family (2-4 Unit),10200 W Capitol Dr Unit 10200-10202,Milwaukee,WI,53222,147500,6,2,Milwaukee,2076,5662,1957,115,71,,Sold,,,http://www.redfin.com/WI/Milwaukee/10200-W-Capitol-Dr-53222/home/90209346,METROMLS,1653688,N,Y,43.0899963,-88.0405545
PAST SALE,,Multi-Family (2-4 Unit),8823 W Congress St,Milwaukee,WI,53225,118000,4,2,,1890,4920,1957,,62,,,,,http://www.redfin.com/WI/Milwaukee/8823-W-Congress-St-53225/home/90352538,,,N,Y,43.0967361,-88.023351
PAST SALE,,Multi-Family (2-4 Unit),4220 W Mangold Ave,Greenfield,WI,53221,235000,4,2,,,8712,,,,,,,,http://www.redfin.com/WI/Greenfield/4220-W-Mangold-Ave-53221/home/57994766,,,N,Y,42.9338046,-87.9684334
PAST SALE,September-18-2019,Multi-Family (2-4 Unit),3437 N 78th St,Milwaukee,WI,53222,125000,4,2,Milwaukee,1840,5227,1954,128,68,,Sold,,,http://www.redfin.com/WI/Milwaukee/3437-N-78th-St-53222/home/90217625,METROMLS,1650508,N,Y,43.0813778,-88.0100312
PAST SALE,,Multi-Family (2-4 Unit),3222 W Morgan Ave,Milwaukee,WI,53221,212000,6,2,,2456,5500,1958,,86,,,,,http://www.redfin.com/WI/Milwaukee/3222-W-Morgan-Ave-53221/home/90243142,,,N,Y,42.9815628,-87.9552514
PAST SALE,October-30-2019,Multi-Family (2-4 Unit),4344 N 88th St #4346,Milwaukee,WI,53222,122000,6,2,Milwaukee,1788,5227,1957,86,68,,Sold,,,http://www.redfin.com/WI/Milwaukee/4344-N-88th-St-53222/unit-4346/home/146370507,METROMLS,1648356,N,Y,43.096141,-88.022182
PAST SALE,October-30-2019,Multi-Family (2-4 Unit),3351 W Lynndale Ave,Milwaukee,WI,53221,120000,5,2,Greenfield,2070,7405,1954,86,58,,Sold,,,http://www.redfin.com/WI/Greenfield/3351-W-Lynndale-Ave-53221/home/90262115,METROMLS,1666015,N,Y,42.9757418,-87.9565493
